content,summary
"excel怎样合并报表","合并工作表操作步骤如下：1、新建一个excel文件，执行以下操作时要合并的excel文件要处于关闭状态。2、打开新建的excel文件，找到数据菜单栏中的获取和转换数据功能区，点击获取数据功能，在其下拉框中选择【自文件】-【从文件夹】。3、选择要合并的excel文件所在的文件夹路径。4、在弹出的窗口中选择右下角的【组合】-【合并和加载】。5、在弹出的合并文件窗口中点击确定，合并完成。"
"excel工作表如何合并","合并工作表操作步骤如下：1、新建一个excel文件，执行以下操作时要合并的excel文件要处于关闭状态。2、打开新建的excel文件，找到数据菜单栏中的获取和转换数据功能区，点击获取数据功能，在其下拉框中选择【自文件】-【从文件夹】。3、选择要合并的excel文件所在的文件夹路径。4、在弹出的窗口中选择右下角的【组合】-【合并和加载】。5、在弹出的合并文件窗口中点击确定，合并完成。"
"合并excel工作表的操作方法","合并工作表操作步骤如下：1、新建一个excel文件，执行以下操作时要合并的excel文件要处于关闭状态。2、打开新建的excel文件，找到数据菜单栏中的获取和转换数据功能区，点击获取数据功能，在其下拉框中选择【自文件】-【从文件夹】。3、选择要合并的excel文件所在的文件夹路径。4、在弹出的窗口中选择右下角的【组合】-【合并和加载】。5、在弹出的合并文件窗口中点击确定，合并完成。"
"excel不能显示内容","Excel能正常打开文件，打开文件也没有报错，但是打开后文件不显示内容原因：此类文件一般都是接收的别处文件，本地office字体库不支持显示当前文件使用的字体。解决方法：使用组合键ctrl+a全选该文件内容，然后统一修改字体为“微软雅黑”。"
"excel打开后不显示内容","Excel能正常打开文件，打开文件也没有报错，但是打开后文件不显示内容原因：此类文件一般都是接收的别处文件，本地office字体库不支持显示当前文件使用的字体。解决方法：使用组合键ctrl+a全选该文件内容，然后统一修改字体为“微软雅黑”。"
"excel打开后行列设置不了","Excel能正常打开文件，打开文件也没有报错，但是打开后文件不显示内容原因：此类文件一般都是接收的别处文件，本地office字体库不支持显示当前文件使用的字体。解决方法：使用组合键ctrl+a全选该文件内容，然后统一修改字体为“微软雅黑”。"
"excel打开后是灰色的","Excel能正常打开文件，打开文件也没有报错，但是打开后文件不显示内容原因：此类文件一般都是接收的别处文件，本地office字体库不支持显示当前文件使用的字体。解决方法：使用组合键ctrl+a全选该文件内容，然后统一修改字体为“微软雅黑”。"
"excel有内容但是打开不显示","Excel能正常打开文件，打开文件也没有报错，但是打开后文件不显示内容原因：此类文件一般都是接收的别处文件，本地office字体库不支持显示当前文件使用的字体。解决方法：使用组合键ctrl+a全选该文件内容，然后统一修改字体为“微软雅黑”。"
"如何取消excel输入网址自动变成超链接","Excel表格取消网址超链接，可通过以下步骤完成：1.在excel表格中，依次点击左上方【文件】-【选项】；2.弹出对话框后，依次点击【校对】-【自动更正选项】；3..在自动更正窗口，选择【键入时自动套用格式】；4.将第一个选项【Internet及网络路径替换为超链接】勾选取消，点击确定；"
"excel中网址不设置成超链接","Excel表格取消网址超链接，可通过以下步骤完成：1.在excel表格中，依次点击左上方【文件】-【选项】；2.弹出对话框后，依次点击【校对】-【自动更正选项】；3..在自动更正窗口，选择【键入时自动套用格式】；4.将第一个选项【Internet及网络路径替换为超链接】勾选取消，点击确定；"
"怎样关闭excel中网址转换超链接功能","Excel表格取消网址超链接，可通过以下步骤完成：1.在excel表格中，依次点击左上方【文件】-【选项】；2.弹出对话框后，依次点击【校对】-【自动更正选项】；3..在自动更正窗口，选择【键入时自动套用格式】；4.将第一个选项【Internet及网络路径替换为超链接】勾选取消，点击确定；"
"ecxel单元格内容取消超链接","Excel表格取消网址超链接，可通过以下步骤完成：1.在excel表格中，依次点击左上方【文件】-【选项】；2.弹出对话框后，依次点击【校对】-【自动更正选项】；3..在自动更正窗口，选择【键入时自动套用格式】；4.将第一个选项【Internet及网络路径替换为超链接】勾选取消，点击确定；"
"excel输入网址就变成超链接","Excel表格取消网址超链接，可通过以下步骤完成：1.在excel表格中，依次点击左上方【文件】-【选项】；2.弹出对话框后，依次点击【校对】-【自动更正选项】；3..在自动更正窗口，选择【键入时自动套用格式】；4.将第一个选项【Internet及网络路径替换为超链接】勾选取消，点击确定；"
"如何查询host文件","hosts文件位置：在电脑同时按下win+r键，然后输入C:\Windows\System32\drivers\etc"
"host文件如何访问","hosts文件位置：在电脑同时按下win+r键，然后输入C:\Windows\System32\drivers\etc"
"host文件访问路径","hosts文件位置：在电脑同时按下win+r键，然后输入C:\Windows\System32\drivers\etc"
"电脑如何查看host文件","hosts文件位置：在电脑同时按下win+r键，然后输入C:\Windows\System32\drivers\etc"
"host文件储存位置","hosts文件位置：在电脑同时按下win+r键，然后输入C:\Windows\System32\drivers\etc"
"windows系统清理系统升级文件","windows系统升级文件清理操作方法：1.进入系统桌面，双击此电脑打开，然后鼠标右键C盘，选择属性打开，进入下一步；2.在打开的磁盘属性界面点击磁盘清理，进入下一步；3.这是系统会自动扫描电脑中存在的垃圾文件，耐心等待即可；4.扫描结果出来之后，点击界面左下方的清理系统文件按钮，进入下一步；5.这是系统会扫描电脑中的系统更新文件和驱动包文件，耐心等待即可；6.出现扫描结果后，将需要删除的文件勾选，然后点击确定按钮，进入下一步；7.在弹出的磁盘清理提示框中，点击删除文件，进入下一步；8.接下来系统就会自动清理各种垃圾了，耐心等待清理完毕即可；"
"windows系统垃圾清理","windows系统升级文件清理操作方法：1.进入系统桌面，双击此电脑打开，然后鼠标右键C盘，选择属性打开，进入下一步；2.在打开的磁盘属性界面点击磁盘清理，进入下一步；3.这是系统会自动扫描电脑中存在的垃圾文件，耐心等待即可；4.扫描结果出来之后，点击界面左下方的清理系统文件按钮，进入下一步；5.这是系统会扫描电脑中的系统更新文件和驱动包文件，耐心等待即可；6.出现扫描结果后，将需要删除的文件勾选，然后点击确定按钮，进入下一步；7.在弹出的磁盘清理提示框中，点击删除文件，进入下一步；8.接下来系统就会自动清理各种垃圾了，耐心等待清理完毕即可；"
"windows系统清理C盘空间","windows系统升级文件清理操作方法：1.进入系统桌面，双击此电脑打开，然后鼠标右键C盘，选择属性打开，进入下一步；2.在打开的磁盘属性界面点击磁盘清理，进入下一步；3.这是系统会自动扫描电脑中存在的垃圾文件，耐心等待即可；4.扫描结果出来之后，点击界面左下方的清理系统文件按钮，进入下一步；5.这是系统会扫描电脑中的系统更新文件和驱动包文件，耐心等待即可；6.出现扫描结果后，将需要删除的文件勾选，然后点击确定按钮，进入下一步；7.在弹出的磁盘清理提示框中，点击删除文件，进入下一步；8.接下来系统就会自动清理各种垃圾了，耐心等待清理完毕即可；"
"电脑磁盘清理","windows系统升级文件清理操作方法：1.进入系统桌面，双击此电脑打开，然后鼠标右键C盘，选择属性打开，进入下一步；2.在打开的磁盘属性界面点击磁盘清理，进入下一步；3.这是系统会自动扫描电脑中存在的垃圾文件，耐心等待即可；4.扫描结果出来之后，点击界面左下方的清理系统文件按钮，进入下一步；5.这是系统会扫描电脑中的系统更新文件和驱动包文件，耐心等待即可；6.出现扫描结果后，将需要删除的文件勾选，然后点击确定按钮，进入下一步；7.在弹出的磁盘清理提示框中，点击删除文件，进入下一步；8.接下来系统就会自动清理各种垃圾了，耐心等待清理完毕即可；"
"word空白页如何删除","Word删除空白页操作步骤如下：1.点击【开始】页面最上方有一个【开始】的选项，选择点击。2.点击【文字排版】找到【文字排版】选项后点击可以看到下拉选项。3.点击【删除】在【文字排版】下拉选项里有个【删除】，点击【删除】。4.点击【删除空白页】在【删除】下拉选项里有个【删除空白页】，点击之后就可以把多余的空白页面删去。"
"如何删除word中的空白页","Word删除空白页操作步骤如下：1.点击【开始】页面最上方有一个【开始】的选项，选择点击。2.点击【文字排版】找到【文字排版】选项后点击可以看到下拉选项。3.点击【删除】在【文字排版】下拉选项里有个【删除】，点击【删除】。4.点击【删除空白页】在【删除】下拉选项里有个【删除空白页】，点击之后就可以把多余的空白页面删去。"
"word空白页删除方法","Word删除空白页操作步骤如下：1.点击【开始】页面最上方有一个【开始】的选项，选择点击。2.点击【文字排版】找到【文字排版】选项后点击可以看到下拉选项。3.点击【删除】在【文字排版】下拉选项里有个【删除】，点击【删除】。4.点击【删除空白页】在【删除】下拉选项里有个【删除空白页】，点击之后就可以把多余的空白页面删去。"
"word怎么删除多余的空白页","Word删除空白页操作步骤如下：1.点击【开始】页面最上方有一个【开始】的选项，选择点击。2.点击【文字排版】找到【文字排版】选项后点击可以看到下拉选项。3.点击【删除】在【文字排版】下拉选项里有个【删除】，点击【删除】。4.点击【删除空白页】在【删除】下拉选项里有个【删除空白页】，点击之后就可以把多余的空白页面删去。"
"word文档中怎么删除空白页","Word删除空白页操作步骤如下：1.点击【开始】页面最上方有一个【开始】的选项，选择点击。2.点击【文字排版】找到【文字排版】选项后点击可以看到下拉选项。3.点击【删除】在【文字排版】下拉选项里有个【删除】，点击【删除】。4.点击【删除空白页】在【删除】下拉选项里有个【删除空白页】，点击之后就可以把多余的空白页面删去。"
"安装有道词典后，表格中复制粘贴快捷键失灵","Excel中的复制快捷键失灵：安装有道词典后，发现Excel或其他办公软件中复制粘贴快捷键（ctrl+c；ctrl+v）失灵等情况；这是因为有道词典划词翻译默认设置与系统中选择功能相冲突引起的，这一现象在Excel中表现最为明显，最直接的解决办法是:右击有道词典-设置-划词设置-展示方式-（修改为）双击ctrl展示结果。"
"Excel无法用快捷键复制","Excel中的复制快捷键失灵：安装有道词典后，发现Excel或其他办公软件中复制粘贴快捷键（ctrl+c；ctrl+v）失灵等情况；这是因为有道词典划词翻译默认设置与系统中选择功能相冲突引起的，这一现象在Excel中表现最为明显，最直接的解决办法是:右击有道词典-设置-划词设置-展示方式-（修改为）双击ctrl展示结果。"
"Ctrl+c失灵","Excel中的复制快捷键失灵：安装有道词典后，发现Excel或其他办公软件中复制粘贴快捷键（ctrl+c；ctrl+v）失灵等情况；这是因为有道词典划词翻译默认设置与系统中选择功能相冲突引起的，这一现象在Excel中表现最为明显，最直接的解决办法是:右击有道词典-设置-划词设置-展示方式-（修改为）双击ctrl展示结果。"
"Excel中无法使用Ctrl+c","Excel中的复制快捷键失灵：安装有道词典后，发现Excel或其他办公软件中复制粘贴快捷键（ctrl+c；ctrl+v）失灵等情况；这是因为有道词典划词翻译默认设置与系统中选择功能相冲突引起的，这一现象在Excel中表现最为明显，最直接的解决办法是:右击有道词典-设置-划词设置-展示方式-（修改为）双击ctrl展示结果。"
"“当前的安全设置不允许从该位置下载文件”如何解决","使用FTP下载文件时，提示：“当前的安全设置不允许从该位置下载文件”如使用FTP下载文件提示此信息，请检查浏览器设置：此报错为IE浏览器设置问题，打开【IE浏览器】，点击右上角齿轮按钮，选择【Internet选项】，选中【安全】选项卡，区域选择【Internet】，在【自定义级别】中找到【文件下载】，勾选中即可。"
"无法从ftp复制文件至本地怎么办","使用FTP下载文件时，提示：“当前的安全设置不允许从该位置下载文件”如使用FTP下载文件提示此信息，请检查浏览器设置：此报错为IE浏览器设置问题，打开【IE浏览器】，点击右上角齿轮按钮，选择【Internet选项】，选中【安全】选项卡，区域选择【Internet】，在【自定义级别】中找到【文件下载】，勾选中即可。"
"使用FTP无法下载文件","使用FTP下载文件时，提示：“当前的安全设置不允许从该位置下载文件”如使用FTP下载文件提示此信息，请检查浏览器设置：此报错为IE浏览器设置问题，打开【IE浏览器】，点击右上角齿轮按钮，选择【Internet选项】，选中【安全】选项卡，区域选择【Internet】，在【自定义级别】中找到【文件下载】，勾选中即可。"
"FTP下载文件提示错误","使用FTP下载文件时，提示：“当前的安全设置不允许从该位置下载文件”如使用FTP下载文件提示此信息，请检查浏览器设置：此报错为IE浏览器设置问题，打开【IE浏览器】，点击右上角齿轮按钮，选择【Internet选项】，选中【安全】选项卡，区域选择【Internet】，在【自定义级别】中找到【文件下载】，勾选中即可。"
"怎么处理“当前的安全设置不允许从该位置下载文件”","使用FTP下载文件时，提示：“当前的安全设置不允许从该位置下载文件”如使用FTP下载文件提示此信息，请检查浏览器设置：此报错为IE浏览器设置问题，打开【IE浏览器】，点击右上角齿轮按钮，选择【Internet选项】，选中【安全】选项卡，区域选择【Internet】，在【自定义级别】中找到【文件下载】，勾选中即可。"
"只读文件如何编辑","保存或另存文件提示文件为只读文件无法保存的处理办法：右键文件点击属性，查看常规选项卡属性一栏是否勾选只读，如是取消勾选，或者不要直接在网页上编辑文档。"
"如何修改文件只读属性","保存或另存文件提示文件为只读文件无法保存的处理办法：右键文件点击属性，查看常规选项卡属性一栏是否勾选只读，如是取消勾选，或者不要直接在网页上编辑文档。"
"另存文件提示文件为只读文件无法保存","保存或另存文件提示文件为只读文件无法保存的处理办法：右键文件点击属性，查看常规选项卡属性一栏是否勾选只读，如是取消勾选，或者不要直接在网页上编辑文档。"
"保存文件提示文件为只读文件无法保存","保存或另存文件提示文件为只读文件无法保存的处理办法：右键文件点击属性，查看常规选项卡属性一栏是否勾选只读，如是取消勾选，或者不要直接在网页上编辑文档。"
"只读文件如何保存","保存或另存文件提示文件为只读文件无法保存的处理办法：右键文件点击属性，查看常规选项卡属性一栏是否勾选只读，如是取消勾选，或者不要直接在网页上编辑文档。"
"如何修改JPG文件默认打开程序","修改图片默认打开程序的方法，先选中文件->右键->属性->常规选项卡中 “打开方式”后面点击“更改，然后选中要用来打开图片的应用，确定即可。"
"如何修改图片打开程序","修改图片默认打开程序的方法，先选中文件->右键->属性->常规选项卡中 “打开方式”后面点击“更改，然后选中要用来打开图片的应用，确定即可。"
"如何修改png默认打开程序","修改图片默认打开程序的方法，先选中文件->右键->属性->常规选项卡中 “打开方式”后面点击“更改，然后选中要用来打开图片的应用，确定即可。"
"windows10如何修改图片打开程序","修改图片默认打开程序的方法，先选中文件->右键->属性->常规选项卡中 “打开方式”后面点击“更改，然后选中要用来打开图片的应用，确定即可。"
"远程访问工具申请流程","远程软件：在办公门户首页-IT专区-自助服务中起草《网络权限申请单》，申请类型选择;远程访问工具使用;，提交后自动审批结束，5分钟后接收邮件，获取账号、密码、客户端下载地址，安装登录后，发送本机识别码给外部人员即可注意事项：1. 安装时选择默认路径2. 同一个用户在一个有效期内只能申请一个账号"
"远程访问工具如何申请","远程软件：在办公门户首页-IT专区-自助服务中起草《网络权限申请单》，申请类型选择;远程访问工具使用;，提交后自动审批结束，5分钟后接收邮件，获取账号、密码、客户端下载地址，安装登录后，发送本机识别码给外部人员即可注意事项：1. 安装时选择默认路径2. 同一个用户在一个有效期内只能申请一个账号"
"电脑使用远程软件方法","远程软件：在办公门户首页-IT专区-自助服务中起草《网络权限申请单》，申请类型选择;远程访问工具使用;，提交后自动审批结束，5分钟后接收邮件，获取账号、密码、客户端下载地址，安装登录后，发送本机识别码给外部人员即可注意事项：1. 安装时选择默认路径2. 同一个用户在一个有效期内只能申请一个账号"
"远程软件如何申请","远程软件：在办公门户首页-IT专区-自助服务中起草《网络权限申请单》，申请类型选择;远程访问工具使用;，提交后自动审批结束，5分钟后接收邮件，获取账号、密码、客户端下载地址，安装登录后，发送本机识别码给外部人员即可注意事项：1. 安装时选择默认路径2. 同一个用户在一个有效期内只能申请一个账号"
"电脑如何申请使用远程软件","远程软件：在办公门户首页-IT专区-自助服务中起草《网络权限申请单》，申请类型选择;远程访问工具使用;，提交后自动审批结束，5分钟后接收邮件，获取账号、密码、客户端下载地址，安装登录后，发送本机识别码给外部人员即可注意事项：1. 安装时选择默认路径2. 同一个用户在一个有效期内只能申请一个账号"
"电脑加域后如何设置ntp同步时间","加域电脑时间同步默认是域控服务器，需要同步时间：搜索框->输入cmd，右键以管理员身份运行cmd，然后入w32tm /resync命令同步时间。"
"域内电脑如何同步时间","加域电脑时间同步默认是域控服务器，需要同步时间：搜索框->输入cmd，右键以管理员身份运行cmd，然后入w32tm /resync命令同步时间。"
"加域电脑如何设置时间","加域电脑时间同步默认是域控服务器，需要同步时间：搜索框->输入cmd，右键以管理员身份运行cmd，然后入w32tm /resync命令同步时间。"
"双击图标显示文件属性","如果您双击桌面图标弹出属性窗口，请检查键盘“Alt“”键是否卡住，尝试多按几次Alt键之后，再点击图标打开尝试。"
"不能双击打开文件","如果您双击桌面图标弹出属性窗口，请检查键盘“Alt“”键是否卡住，尝试多按几次Alt键之后，再点击图标打开尝试。"
"双击图标显示属性如何修改","如果您双击桌面图标弹出属性窗口，请检查键盘“Alt“”键是否卡住，尝试多按几次Alt键之后，再点击图标打开尝试。"
"更改鼠标双击的功能","如果您双击桌面图标弹出属性窗口，请检查键盘“Alt“”键是否卡住，尝试多按几次Alt键之后，再点击图标打开尝试。"
"双击图标不能打开文件","如果您双击桌面图标弹出属性窗口，请检查键盘“Alt“”键是否卡住，尝试多按几次Alt键之后，再点击图标打开尝试。"
"如何备份浏览器收藏夹","备份浏览器收藏夹的方法：谷歌Chome浏览器：1.进行选中右上角的位置设置的选项的按钮，弹出了下拉菜单中进行选择为书签的选项菜单。2.弹出了下一级菜单中，进行选择书签管理器的选项菜单。3.进入到了书签管理器中之后，选中;导出书签;。4.然后进行选中要保存的电脑中路径位置当中。5.此时可以在您选择的目录下看到查看到导出的书签html文件。将文件备份或发送至其他电脑中。6.在新的电脑上，打开浏览器，找到上一步骤的4中所示界面,选择;导入书签;,导入拷贝的书签文件即可。火狐Firefox浏览器：1.点击右上角的设置按钮，选择书签;然后,选择管理书签;。2.在弹出的;我的足迹;窗口中,选中需要导出的书签文件夹后点击;导出书签到HTML;3.保存书签文件到本地4.在您选择的位置上可以看到保存下来的书签文件，将文件备份或发送至其他电脑中。5.在新的电脑上，打开浏览器，找到上一步骤的2中所示界面,选择;从HTML文件导入书签;,导入拷贝的书签文件即可。详细图文手册：http://abc.com&#34;"
"收藏夹如何备份","备份浏览器收藏夹的方法：谷歌Chome浏览器：1.进行选中右上角的位置设置的选项的按钮，弹出了下拉菜单中进行选择为书签的选项菜单。2.弹出了下一级菜单中，进行选择书签管理器的选项菜单。3.进入到了书签管理器中之后，选中;导出书签;。4.然后进行选中要保存的电脑中路径位置当中。5.此时可以在您选择的目录下看到查看到导出的书签html文件。将文件备份或发送至其他电脑中。6.在新的电脑上，打开浏览器，找到上一步骤的4中所示界面,选择;导入书签;,导入拷贝的书签文件即可。火狐Firefox浏览器：1.点击右上角的设置按钮，选择书签;然后,选择管理书签;。2.在弹出的;我的足迹;窗口中,选中需要导出的书签文件夹后点击;导出书签到HTML;3.保存书签文件到本地4.在您选择的位置上可以看到保存下来的书签文件，将文件备份或发送至其他电脑中。5.在新的电脑上，打开浏览器，找到上一步骤的2中所示界面,选择;从HTML文件导入书签;,导入拷贝的书签文件即可。详细图文手册：http://abc.com&#34;"
"如何导入收藏夹","备份浏览器收藏夹的方法：谷歌Chome浏览器：1.进行选中右上角的位置设置的选项的按钮，弹出了下拉菜单中进行选择为书签的选项菜单。2.弹出了下一级菜单中，进行选择书签管理器的选项菜单。3.进入到了书签管理器中之后，选中;导出书签;。4.然后进行选中要保存的电脑中路径位置当中。5.此时可以在您选择的目录下看到查看到导出的书签html文件。将文件备份或发送至其他电脑中。6.在新的电脑上，打开浏览器，找到上一步骤的4中所示界面,选择;导入书签;,导入拷贝的书签文件即可。火狐Firefox浏览器：1.点击右上角的设置按钮，选择书签;然后,选择管理书签;。2.在弹出的;我的足迹;窗口中,选中需要导出的书签文件夹后点击;导出书签到HTML;3.保存书签文件到本地4.在您选择的位置上可以看到保存下来的书签文件，将文件备份或发送至其他电脑中。5.在新的电脑上，打开浏览器，找到上一步骤的2中所示界面,选择;从HTML文件导入书签;,导入拷贝的书签文件即可。详细图文手册：http://abc.com&#34;"
"收藏夹保存位置","备份浏览器收藏夹的方法：谷歌Chome浏览器：1.进行选中右上角的位置设置的选项的按钮，弹出了下拉菜单中进行选择为书签的选项菜单。2.弹出了下一级菜单中，进行选择书签管理器的选项菜单。3.进入到了书签管理器中之后，选中;导出书签;。4.然后进行选中要保存的电脑中路径位置当中。5.此时可以在您选择的目录下看到查看到导出的书签html文件。将文件备份或发送至其他电脑中。6.在新的电脑上，打开浏览器，找到上一步骤的4中所示界面,选择;导入书签;,导入拷贝的书签文件即可。火狐Firefox浏览器：1.点击右上角的设置按钮，选择书签;然后,选择管理书签;。2.在弹出的;我的足迹;窗口中,选中需要导出的书签文件夹后点击;导出书签到HTML;3.保存书签文件到本地4.在您选择的位置上可以看到保存下来的书签文件，将文件备份或发送至其他电脑中。5.在新的电脑上，打开浏览器，找到上一步骤的2中所示界面,选择;从HTML文件导入书签;,导入拷贝的书签文件即可。详细图文手册：http://abc.com&#34;"
"如何导出收藏夹","备份浏览器收藏夹的方法：谷歌Chome浏览器：1.进行选中右上角的位置设置的选项的按钮，弹出了下拉菜单中进行选择为书签的选项菜单。2.弹出了下一级菜单中，进行选择书签管理器的选项菜单。3.进入到了书签管理器中之后，选中;导出书签;。4.然后进行选中要保存的电脑中路径位置当中。5.此时可以在您选择的目录下看到查看到导出的书签html文件。将文件备份或发送至其他电脑中。6.在新的电脑上，打开浏览器，找到上一步骤的4中所示界面,选择;导入书签;,导入拷贝的书签文件即可。火狐Firefox浏览器：1.点击右上角的设置按钮，选择书签;然后,选择管理书签;。2.在弹出的;我的足迹;窗口中,选中需要导出的书签文件夹后点击;导出书签到HTML;3.保存书签文件到本地4.在您选择的位置上可以看到保存下来的书签文件，将文件备份或发送至其他电脑中。5.在新的电脑上，打开浏览器，找到上一步骤的2中所示界面,选择;从HTML文件导入书签;,导入拷贝的书签文件即可。详细图文手册：http://abc.com&#34;"
"如何更改打开方式","程序默认打开方式可以按下面的方法修改：打开电脑控制面板--程序--默认程序设置，在此处修改文档的打开方式或者选中任意文件右键点击打开方式，选择默认程序后勾选始终使用此程序打开此类文件"
"更改程序的默认打开方式","程序默认打开方式可以按下面的方法修改：打开电脑控制面板--程序--默认程序设置，在此处修改文档的打开方式或者选中任意文件右键点击打开方式，选择默认程序后勾选始终使用此程序打开此类文件"
"程序打开方式如何恢复默认","程序默认打开方式可以按下面的方法修改：打开电脑控制面板--程序--默认程序设置，在此处修改文档的打开方式或者选中任意文件右键点击打开方式，选择默认程序后勾选始终使用此程序打开此类文件"
"怎么更改程序的默认打开方式","程序默认打开方式可以按下面的方法修改：打开电脑控制面板--程序--默认程序设置，在此处修改文档的打开方式或者选中任意文件右键点击打开方式，选择默认程序后勾选始终使用此程序打开此类文件"
"修改默认打开方式的方法","程序默认打开方式可以按下面的方法修改：打开电脑控制面板--程序--默认程序设置，在此处修改文档的打开方式或者选中任意文件右键点击打开方式，选择默认程序后勾选始终使用此程序打开此类文件"
"如何取消office加载项","减少Office软件加载项：首先创建一个新的Office文件，然后点击进去，点击文件、选项、加载项。根据自己需求进行加载项的增删操作即可。"
"如何修改office的加载项","减少Office软件加载项：首先创建一个新的Office文件，然后点击进去，点击文件、选项、加载项。根据自己需求进行加载项的增删操作即可。"
"如何修改Office软件加载项","减少Office软件加载项：首先创建一个新的Office文件，然后点击进去，点击文件、选项、加载项。根据自己需求进行加载项的增删操作即可。"
"office加载项设置","减少Office软件加载项：首先创建一个新的Office文件，然后点击进去，点击文件、选项、加载项。根据自己需求进行加载项的增删操作即可。"
"关闭office加载项","减少Office软件加载项：首先创建一个新的Office文件，然后点击进去，点击文件、选项、加载项。根据自己需求进行加载项的增删操作即可。"
"开启IE模式的方法","如何在Microsoft Edge上启用IE模式:1.在Windows 11上打开Microsoft Edge。2.单击右上角的设置和更多(省略号)按钮。3.选择”设置'选项。4.单击默认浏览器。5.在"Internet Explorer兼容性’部分下，开"允许在Internet Explorer模式下重新加载网站”切换开关。6.单击重新启动按钮。"
"如何IE浏览器模式打开网址","如何在Microsoft Edge上启用IE模式:1.在Windows 11上打开Microsoft Edge。2.单击右上角的设置和更多(省略号)按钮。3.选择”设置'选项。4.单击默认浏览器。5.在"Internet Explorer兼容性’部分下，开"允许在Internet Explorer模式下重新加载网站”切换开关。6.单击重新启动按钮。"
"IE模式如何设置","如何在Microsoft Edge上启用IE模式:1.在Windows 11上打开Microsoft Edge。2.单击右上角的设置和更多(省略号)按钮。3.选择”设置'选项。4.单击默认浏览器。5.在"Internet Explorer兼容性’部分下，开"允许在Internet Explorer模式下重新加载网站”切换开关。6.单击重新启动按钮。"
"网址以IE浏览器模式访问","如何在Microsoft Edge上启用IE模式:1.在Windows 11上打开Microsoft Edge。2.单击右上角的设置和更多(省略号)按钮。3.选择”设置'选项。4.单击默认浏览器。5.在"Internet Explorer兼容性’部分下，开"允许IE模式功能","如何在Microsoft Edge上启用IE模式:1.在Windows 11上打开Microsoft Edge。2.单击右上角的设置和更多(省略号)按钮。3.选择”设置'选项。4.单击默认浏览器。5.在"Internet Explorer兼容性’部分下，开"允许在Internet Explorer模式下重新加载网站”切换开关。6.单击重新启动按钮。"
"如何打开IE模式功能","如何在Microsoft Edge上启用IE模式:1.在Windows 11上打开Microsoft Edge。2.单击右上角的设置和更多(省略号)按钮。3.选择”设置'选项。4.单击默认浏览器。5.在"Internet Explorer兼容性’部分下，开"允许在Internet Explorer模式下重新加载网站”切换开关。6.单击重新启动按钮。"
"借用电脑","申请借用机：请在办公门户首页-IT专区-自助服务中起草 《IT资产管理审批单》，计算机类型选择借用机。若需出国，请附出境出差审批单截图。S01属地：1.申请笔记本需要先提交《一般报告审批单（智慧终端）》，说明申请笔记本的理由，签核至本部门中心长和SBU总经理，签核完成后，提交《IT资产管理审批单》并将上述签核记录作为附件，提交申请；2.申请台式机直接提交提交《IT资产管理审批单》"
"借用机申请流程","申请借用机：请在办公门户首页-IT专区-自助服务中起草 《IT资产管理审批单》，计算机类型选择借用机。若需出国，请附出境出差审批单截图。S01属地：1.申请笔记本需要先提交《一般报告审批单（智慧终端）》，说明申请笔记本的理由，签核至本部门中心长和SBU总经理，签核完成后，提交《IT资产管理审批单》并将上述签核记录作为附件，提交申请；2.申请台式机直接提交提交《IT资产管理审批单》"
"如何申请借用电脑","申请借用机：请在办公门户首页-IT专区-自助服务中起草 《IT资产管理审批单》，计算机类型选择借用机。若需出国，请附出境出差审批单截图。S01属地：1.申请笔记本需要先提交《一般报告审批单（智慧终端）》，说明申请笔记本的理由，签核至本部门中心长和SBU总经理，签核完成后，提交《IT资产管理审批单》并将上述签核记录作为附件，提交申请；2.申请台式机直接提交提交《IT资产管理审批单》"
"申请借用机","申请借用机：请在办公门户首页-IT专区-自助服务中起草 《IT资产管理审批单》，计算机类型选择借用机。若需出国，请附出境出差审批单截图。S01属地：1.申请笔记本需要先提交《一般报告审批单（智慧终端）》，说明申请笔记本的理由，签核至本部门中心长和SBU总经理，签核完成后，提交《IT资产管理审批单》并将上述签核记录作为附件，提交申请；2.申请台式机直接提交提交《IT资产管理审批单》"
"如何申请借用机","申请借用机：请在办公门户首页-IT专区-自助服务中起草 《IT资产管理审批单》，计算机类型选择借用机。若需出国，请附出境出差审批单截图。S01属地：1.申请笔记本需要先提交《一般报告审批单（智慧终端）》，说明申请笔记本的理由，签核至本部门中心长和SBU总经理，签核完成后，提交《IT资产管理审批单》并将上述签核记录作为附件，提交申请；2.申请台式机直接提交提交《IT资产管理审批单》"
"计算机远程桌面开启方式","开启计算机远程方法：Windows7:1、在桌面或开始菜单栏中找到;计算机;右键-属性2、在弹出窗口点击左侧远程设置3、远程协助一栏勾选;允许远程协助连接这台计算机;，远程桌面一栏选择;允许运行任意版本远程桌面计算机连接;，点击确定即可Windows10:1、在桌面或打开任意文件夹左侧的;快速访问;中找到;此电脑;右键-属性2、在弹出窗口点击左侧远程设置3、在远程协助一栏勾选;允许远程协助连接这台计算机;远程桌面一栏选择;允许远程连接到此电脑;同时取消勾选下方的;仅允许运行使用网络级别身份验证的远程桌面的计算机连接;点击确定即可详细图文操作手册：http://abc.com&#34;"
